year,month,starthour,season,weekday,trips
2019,Jan,00,Winter,Friday,953
2019,Jan,00,Winter,Monday,558
2019,Jan,00,Winter,Saturday,1434
2019,Jan,00,Winter,Sunday,1305
2019,Jan,00,Winter,Thursday,929
2019,Jan,00,Winter,Tuesday,693
2019,Jan,00,Winter,Wednesday,797
2019,Jan,01,Winter,Friday,483
2019,Jan,01,Winter,Monday,294
2019,Jan,01,Winter,Saturday,793
2019,Jan,01,Winter,Sunday,903
2019,Jan,01,Winter,Thursday,414
2019,Jan,01,Winter,Tuesday,553
2019,Jan,01,Winter,Wednesday,471
2019,Jan,02,Winter,Friday,259
2019,Jan,02,Winter,Monday,153
2019,Jan,02,Winter,Saturday,472
2019,Jan,02,Winter,Sunday,513
2019,Jan,02,Winter,Thursday,250
2019,Jan,02,Winter,Tuesday,423
2019,Jan,02,Winter,Wednesday,268
2019,Jan,03,Winter,Friday,171
2019,Jan,03,Winter,Monday,93
2019,Jan,03,Winter,Saturday,355
2019,Jan,03,Winter,Sunday,333
2019,Jan,03,Winter,Thursday,176
2019,Jan,03,Winter,Tuesday,289
2019,Jan,03,Winter,Wednesday,164
2019,Jan,04,Winter,Friday,290
2019,Jan,04,Winter,Monday,280
2019,Jan,04,Winter,Saturday,244
2019,Jan,04,Winter,Sunday,233
2019,Jan,04,Winter,Thursday,344
2019,Jan,04,Winter,Tuesday,391
2019,Jan,04,Winter,Wednesday,388
2019,Jan,05,Winter,Friday,1293
2019,Jan,05,Winter,Monday,1279
2019,Jan,05,Winter,Saturday,248
2019,Jan,05,Winter,Sunday,217
2019,Jan,05,Winter,Thursday,1693
2019,Jan,05,Winter,Tuesday,1403
2019,Jan,05,Winter,Wednesday,1932
2019,Jan,06,Winter,Friday,4220
2019,Jan,06,Winter,Monday,3743
2019,Jan,06,Winter,Saturday,743
2019,Jan,06,Winter,Sunday,474
2019,Jan,06,Winter,Thursday,4903
2019,Jan,06,Winter,Tuesday,4612
2019,Jan,06,Winter,Wednesday,6165
2019,Jan,07,Winter,Friday,8884
2019,Jan,07,Winter,Monday,7670
2019,Jan,07,Winter,Saturday,1677
2019,Jan,07,Winter,Sunday,1127
2019,Jan,07,Winter,Thursday,9939
2019,Jan,07,Winter,Tuesday,9421
2019,Jan,07,Winter,Wednesday,12974
2019,Jan,08,Winter,Friday,15749
2019,Jan,08,Winter,Monday,12699
2019,Jan,08,Winter,Saturday,3164
2019,Jan,08,Winter,Sunday,2292
2019,Jan,08,Winter,Thursday,17510
2019,Jan,08,Winter,Tuesday,16793
2019,Jan,08,Winter,Wednesday,22086
2019,Jan,09,Winter,Friday,11820
2019,Jan,09,Winter,Monday,8514
2019,Jan,09,Winter,Saturday,5034
2019,Jan,09,Winter,Sunday,4107
2019,Jan,09,Winter,Thursday,11833
2019,Jan,09,Winter,Tuesday,11836
2019,Jan,09,Winter,Wednesday,14825
2019,Jan,10,Winter,Friday,6376
2019,Jan,10,Winter,Monday,4534
2019,Jan,10,Winter,Saturday,6345
2019,Jan,10,Winter,Sunday,6299
2019,Jan,10,Winter,Thursday,5940
2019,Jan,10,Winter,Tuesday,6522
2019,Jan,10,Winter,Wednesday,7618
2019,Jan,11,Winter,Friday,6058
2019,Jan,11,Winter,Monday,4045
2019,Jan,11,Winter,Saturday,7065
2019,Jan,11,Winter,Sunday,7638
2019,Jan,11,Winter,Thursday,5296
2019,Jan,11,Winter,Tuesday,6595
2019,Jan,11,Winter,Wednesday,6952
2019,Jan,12,Winter,Friday,7182
2019,Jan,12,Winter,Monday,4907
2019,Jan,12,Winter,Saturday,7733
2019,Jan,12,Winter,Sunday,9214
2019,Jan,12,Winter,Thursday,6157
2019,Jan,12,Winter,Tuesday,7859
2019,Jan,12,Winter,Wednesday,8352
2019,Jan,13,Winter,Friday,7535
2019,Jan,13,Winter,Monday,5128
