year,month,stationid,startstatname,start station latitude,start station longitude,starttrips,endstatname,end station latitude,end station longitude,endtrips
2019.0,Jan,72.0,W 52 St & 11 Ave,40.76727216,-73.99392888,1697.0,W 52 St & 11 Ave,40.76727216,-73.99392888,1662
2019.0,Jan,79.0,Franklin St & W Broadway,40.71911552,-74.00666661,1271.0,Franklin St & W Broadway,40.71911552,-74.00666661,1284
2019.0,Jan,82.0,St James Pl & Pearl St,40.71117416,-74.00016545,627.0,St James Pl & Pearl St,40.71117416,-74.00016545,633
2019.0,Jan,83.0,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,390.0,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,584
2019.0,Jan,119.0,Park Ave & St Edwards St,40.69608941,-73.97803415,232.0,Park Ave & St Edwards St,40.69608941,-73.97803415,308
2019.0,Jan,120.0,Lexington Ave & Classon Ave,40.68676793,-73.95928168,575.0,Lexington Ave & Classon Ave,40.68676793,-73.95928168,478
2019.0,Jan,127.0,Barrow St & Hudson St,40.73172428,-74.00674436,3067.0,Barrow St & Hudson St,40.73172428,-74.00674436,3083
2019.0,Jan,128.0,MacDougal St & Prince St,40.72710258,-74.00297088,2824.0,MacDougal St & Prince St,40.72710258,-74.00297088,2865
2019.0,Jan,143.0,Clinton St & Joralemon St,40.69239502,-73.99337909,1436.0,Clinton St & Joralemon St,40.69239502,-73.99337909,1438
2019.0,Jan,144.0,Nassau St & Navy St,40.69839895,-73.98068914,454.0,Nassau St & Navy St,40.69839895,-73.98068914,476
2019.0,Jan,146.0,Hudson St & Reade St,40.71625008,-74.0091059,1701.0,Hudson St & Reade St,40.71625008,-74.0091059,1716
2019.0,Jan,150.0,E 2 St & Avenue C,40.720873600000004,-73.98085795,1489.0,E 2 St & Avenue C,40.720873600000004,-73.98085795,1487
2019.0,Jan,151.0,Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,3735.0,Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,3734
2019.0,Jan,157.0,Henry St & Atlantic Ave,40.69089272,-73.99612349,1178.0,Henry St & Atlantic Ave,40.69089272,-73.99612349,1218
2019.0,Jan,161.0,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,2246.0,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,2290
2019.0,Jan,164.0,E 47 St & 2 Ave,40.75323098,-73.97032517,1905.0,E 47 St & 2 Ave,40.75323098,-73.97032517,1961
2019.0,Jan,167.0,E 39 St & 3 Ave,40.7489006,-73.97604882,2849.0,E 39 St & 3 Ave,40.7489006,-73.97604882,2873
2019.0,Jan,168.0,W 18 St & 6 Ave,40.73971301,-73.99456405,3846.0,W 18 St & 6 Ave,40.73971301,-73.99456405,3929
2019.0,Jan,173.0,Broadway & W 49 St,40.76068327096592,-73.98452728986742,3733.0,Broadway & W 49 St,40.76068327096592,-73.98452728986742,3789
2019.0,Jan,174.0,E 25 St & 1 Ave,40.7381765,-73.97738662,2400.0,E 25 St & 1 Ave,40.7381765,-73.97738662,2404
2019.0,Jan,195.0,Liberty St & Broadway,40.70905623,-74.01043382,2559.0,Liberty St & Broadway,40.70905623,-74.01043382,2571
2019.0,Jan,212.0,W 16 St & The High Line,40.74334935,-74.00681753,2280.0,W 16 St & The High Line,40.74334935,-74.00681753,2223
2019.0,Jan,216.0,Columbia Heights & Cranberry St,40.70037867,-73.99548059,341.0,Columbia Heights & Cranberry St,40.70037867,-73.99548059,296
2019.0,Jan,217.0,Old Fulton St,40.70277159,-73.99383605,832.0,Old Fulton St,40.70277159,-73.99383605,1399
2019.0,Jan,223.0,W 13 St & 7 Ave,40.73781509,-73.99994661,2770.0,W 13 St & 7 Ave,40.73781509,-73.99994661,2835
2019.0,Jan,224.0,Spruce St & Nassau St,40.71146364,-74.00552427,9.0,Spruce St & Nassau St,40.71146364,-74.00552427,11
2019.0,Jan,228.0,E 48 St & 3 Ave,40.7546011026,-73.971878855,1642.0,E 48 St & 3 Ave,40.7546011026,-73.971878855,1613
2019.0,Jan,229.0,Great Jones St,40.72743423,-73.99379025,3752.0,Great Jones St,40.72743423,-73.99379025,3902
2019.0,Jan,236.0,St Marks Pl & 2 Ave,40.7284186,-73.98713956,2670.0,St Marks Pl & 2 Ave,40.7284186,-73.98713956,2775
2019.0,Jan,237.0,E 11 St & 2 Ave,40.73047309,-73.98672378,3735.0,E 11 St & 2 Ave,40.73047309,-73.98672378,3774
2019.0,Jan,238.0,Bank St & Washington St,40.7361967,-74.00859207,1519.0,Bank St & Washington St,40.7361967,-74.00859207,1506
2019.0,Jan,239.0,Willoughby St & Fleet St,40.69196566,-73.9813018,1848.0,Willoughby St & Fleet St,40.69196566,-73.9813018,1718
2019.0,Jan,241.0,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,798.0,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,679
2019.0,Jan,242.0,Carlton Ave & Flushing Ave,40.697787,-73.973736,490.0,Carlton Ave & Flushing Ave,40.697787,-73.973736,629
2019.0,Jan,243.0,Fulton St & Rockwell Pl,40.688226,-73.979382,637.0,Fulton St & Rockwell Pl,40.688226,-73.979382,822
2019.0,Jan,244.0,Willoughby Ave & Hall St,40.69196035,-73.96536851,1037.0,Willoughby Ave & Hall St,40.69196035,-73.96536851,896
2019.0,Jan,245.0,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,484.0,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,430
2019.0,Jan,247.0,Perry St & Bleecker St,40.73535398,-74.00483091,1335.0,Perry St & Bleecker St,40.73535398,-74.00483091,1333
2019.0,Jan,248.0,Laight St & Hudson St,40.72185379,-74.00771779,624.0,Laight St & Hudson St,40.72185379,-74.00771779,621
2019.0,Jan,249.0,Harrison St & Hudson St,40.71870987,-74.0090009,926.0,Harrison St & Hudson St,40.71870987,-74.0090009,902
2019.0,Jan,251.0,Mott St & Prince St,40.72317958,-73.99480012,2289.0,Mott St & Prince St,40.72317958,-73.99480012,2289
2019.0,Jan,252.0,MacDougal St & Washington Sq,40.73226398,-73.99852205,1694.0,MacDougal St & Washington Sq,40.73226398,-73.99852205,1718
2019.0,Jan,254.0,W 11 St & 6 Ave,40.73532427,-73.99800419,2263.0,W 11 St & 6 Ave,40.73532427,-73.99800419,2324
2019.0,Jan,257.0,Lispenard St & Broadway,40.71939226,-74.00247214,1994.0,Lispenard St & Broadway,40.71939226,-74.00247214,1997
2019.0,Jan,258.0,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,1041.0,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,825
2019.0,Jan,259.0,South St & Whitehall St,40.70122128,-74.01234218,1012.0,South St & Whitehall St,40.70122128,-74.01234218,1043
2019.0,Jan,260.0,Broad St & Bridge St,40.70365182,-74.01167797,872.0,Broad St & Bridge St,40.70365182,-74.01167797,897
2019.0,Jan,261.0,Johnson St & Gold St,40.69474881,-73.98362464,774.0,Johnson St & Gold St,40.69474881,-73.98362464,833
2019.0,Jan,262.0,Washington Park,40.6917823,-73.97372990000001,800.0,Washington Park,40.6917823,-73.97372990000001,724
2019.0,Jan,264.0,Maiden Ln & Pearl St,40.70706456,-74.00731853,1180.0,Maiden Ln & Pearl St,40.70706456,-74.00731853,1188
2019.0,Jan,265.0,Stanton St & Chrystie St,40.72229346,-73.99147535,2133.0,Stanton St & Chrystie St,40.72229346,-73.99147535,2192
2019.0,Jan,266.0,Avenue D & E 8 St,40.72368361,-73.97574813,1177.0,Avenue D & E 8 St,40.72368361,-73.97574813,1105
2019.0,Jan,267.0,Broadway & W 36 St,40.75097711,-73.98765428,2335.0,Broadway & W 36 St,40.75097711,-73.98765428,2354
2019.0,Jan,268.0,Howard St & Centre St,40.71910537,-73.99973337,2053.0,Howard St & Centre St,40.71910537,-73.99973337,2036
2019.0,Jan,270.0,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,1263.0,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,1192
2019.0,Jan,274.0,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,940.0,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,1020
2019.0,Jan,275.0,Washington Ave & Greene Ave,40.68650065,-73.96563307,656.0,Washington Ave & Greene Ave,40.68650065,-73.96563307,631
2019.0,Jan,276.0,Duane St & Greenwich St,40.71748752,-74.0104554,1053.0,Duane St & Greenwich St,40.71748752,-74.0104554,1069
2019.0,Jan,278.0,Concord St & Bridge St,40.69766564,-73.98476437,399.0,Concord St & Bridge St,40.69766564,-73.98476437,361
2019.0,Jan,279.0,Peck Slip & Front St,40.707873,-74.00166999999999,1425.0,Peck Slip & Front St,40.707873,-74.00166999999999,1442
2019.0,Jan,280.0,E 10 St & 5 Ave,40.73331967,-73.99510132,1653.0,E 10 St & 5 Ave,40.73331967,-73.99510132,1672
2019.0,Jan,281.0,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,2677.0,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,2355
2019.0,Jan,282.0,Kent Ave & S 11 St,40.7076449441757,-73.96841526031494,786.0,Kent Ave & S 11 St,40.7076449441757,-73.96841526031494,824
2019.0,Jan,285.0,Broadway & E 14 St,40.73454567,-73.99074142,5300.0,Broadway & E 14 St,40.73454567,-73.99074142,5378
2019.0,Jan,289.0,Monroe St & Classon Ave,40.684568299999995,-73.95881081,465.0,Monroe St & Classon Ave,40.684568299999995,-73.95881081,361
2019.0,Jan,291.0,Madison St & Montgomery St,40.713126,-73.984844,1069.0,Madison St & Montgomery St,40.713126,-73.984844,1077
2019.0,Jan,293.0,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,4719.0,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,4874
2019.0,Jan,295.0,Pike St & E Broadway,40.71406667,-73.99293911,1620.0,Pike St & E Broadway,40.71406667,-73.99293911,1604
2019.0,Jan,296.0,Division St & Bowery,40.71413089,-73.99704679999999,1907.0,Division St & Bowery,40.71413089,-73.99704679999999,1905
2019.0,Jan,297.0,E 15 St & 3 Ave,40.734232,-73.986923,3803.0,E 15 St & 3 Ave,40.734232,-73.986923,3804
2019.0,Jan,298.0,3 Ave & Schermerhorn St,40.68683208,-73.9796772,859.0,3 Ave & Schermerhorn St,40.68683208,-73.9796772,950
2019.0,Jan,301.0,E 2 St & Avenue B,40.72217444,-73.98368779,2127.0,E 2 St & Avenue B,40.72217444,-73.98368779,2525
2019.0,Jan,302.0,Avenue D & E 3 St,40.72082834,-73.97793172,1768.0,Avenue D & E 3 St,40.72082834,-73.97793172,1779
2019.0,Jan,303.0,Mercer St & Spring St,40.72362738,-73.99949601,1733.0,Mercer St & Spring St,40.72362738,-73.99949601,1736
2019.0,Jan,304.0,Broadway & Battery Pl,40.70463334,-74.01361706,2139.0,Broadway & Battery Pl,40.70463334,-74.01361706,2898
2019.0,Jan,305.0,E 58 St & 3 Ave,40.76095756,-73.96724467,2479.0,E 58 St & 3 Ave,40.76095756,-73.96724467,2480
2019.0,Jan,307.0,Canal St & Rutgers St,40.71427487,-73.98990025,3161.0,Canal St & Rutgers St,40.71427487,-73.98990025,3144
2019.0,Jan,308.0,St James Pl & Oliver St,40.71307916,-73.99851193,1345.0,St James Pl & Oliver St,40.71307916,-73.99851193,1345
2019.0,Jan,309.0,Murray St & West St,40.7149787,-74.013012,1595.0,Murray St & West St,40.7149787,-74.013012,1737
2019.0,Jan,310.0,State St & Smith St,40.68926942,-73.98912867,942.0,State St & Smith St,40.68926942,-73.98912867,977
2019.0,Jan,311.0,Norfolk St & Broome St,40.7172274,-73.98802084,2078.0,Norfolk St & Broome St,40.7172274,-73.98802084,2099
2019.0,Jan,312.0,Allen St & Stanton St,40.722055,-73.989111,3309.0,Allen St & Stanton St,40.722055,-73.989111,3276
2019.0,Jan,313.0,Washington Ave & Park Ave,40.69610226,-73.96751037,724.0,Washington Ave & Park Ave,40.69610226,-73.96751037,803
2019.0,Jan,314.0,Cadman Plaza West & Montague St,40.69383,-73.990539,1415.0,Cadman Plaza West & Montague St,40.69383,-73.990539,1249
2019.0,Jan,315.0,South St & Gouverneur Ln,40.70355377,-74.00670227,1613.0,South St & Gouverneur Ln,40.70355377,-74.00670227,1668
2019.0,Jan,316.0,Fulton St & William St,40.70955958,-74.00653609,1966.0,Fulton St & William St,40.70955958,-74.00653609,2012
2019.0,Jan,317.0,E 6 St & Avenue B,40.72453734,-73.98185424,2117.0,E 6 St & Avenue B,40.72453734,-73.98185424,2135
2019.0,Jan,319.0,Fulton St & Broadway,40.711065999999995,-74.009447,2370.0,Fulton St & Broadway,40.711065999999995,-74.009447,2382
2019.0,Jan,320.0,Leonard St & Church St,40.717571,-74.005549,1340.0,Leonard St & Church St,40.717571,-74.005549,1345
2019.0,Jan,321.0,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,1118.0,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,1101
2019.0,Jan,323.0,Lawrence St & Willoughby St,40.69236178,-73.98631746,1321.0,Lawrence St & Willoughby St,40.69236178,-73.98631746,1306
2019.0,Jan,324.0,DeKalb Ave & Hudson Ave,40.689888,-73.981013,1364.0,DeKalb Ave & Hudson Ave,40.689888,-73.981013,2322
2019.0,Jan,325.0,E 19 St & 3 Ave,40.73624527,-73.98473765,2463.0,E 19 St & 3 Ave,40.73624527,-73.98473765,2441
2019.0,Jan,326.0,E 11 St & 1 Ave,40.72953837,-73.98426726,3059.0,E 11 St & 1 Ave,40.72953837,-73.98426726,3077
2019.0,Jan,327.0,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,2882.0,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,2903
2019.0,Jan,328.0,Watts St & Greenwich St,40.72405549,-74.00965965,1810.0,Watts St & Greenwich St,40.72405549,-74.00965965,1810
2019.0,Jan,330.0,Reade St & Broadway,40.71450451,-74.00562789,1447.0,Reade St & Broadway,40.71450451,-74.00562789,1446
2019.0,Jan,331.0,Pike St & Monroe St,40.71173107,-73.99193043,1112.0,Pike St & Monroe St,40.71173107,-73.99193043,1128
2019.0,Jan,332.0,Cherry St,40.71219906,-73.97948148,852.0,Cherry St,40.71219906,-73.97948148,860
2019.0,Jan,334.0,W 20 St & 7 Ave,40.74238787,-73.99726235,2969.0,W 20 St & 7 Ave,40.74238787,-73.99726235,2964
2019.0,Jan,335.0,Washington Pl & Broadway,40.72903917,-73.99404649,1999.0,Washington Pl & Broadway,40.72903917,-73.99404649,2049
2019.0,Jan,336.0,Sullivan St & Washington Sq,40.73047747,-73.99906065,1961.0,Sullivan St & Washington Sq,40.73047747,-73.99906065,1932
2019.0,Jan,337.0,Old Slip & Front St,40.703799200000006,-74.00838676,1021.0,Old Slip & Front St,40.703799200000006,-74.00838676,1030
2019.0,Jan,339.0,Avenue D & E 12 St,40.72580614,-73.97422494,851.0,Avenue D & E 12 St,40.72580614,-73.97422494,764
2019.0,Jan,340.0,Madison St & Clinton St,40.71269042,-73.98776323,1198.0,Madison St & Clinton St,40.71269042,-73.98776323,1201
2019.0,Jan,341.0,Stanton St & Mangin St,40.71782143,-73.97628939,892.0,Stanton St & Mangin St,40.71782143,-73.97628939,906
2019.0,Jan,342.0,Columbia St & Rivington St,40.71739973,-73.98016555,1479.0,Columbia St & Rivington St,40.71739973,-73.98016555,1470
2019.0,Jan,343.0,Clinton Ave & Flushing Ave,40.69794,-73.96986848,339.0,Clinton Ave & Flushing Ave,40.69794,-73.96986848,500
2019.0,Jan,344.0,Monroe St & Bedford Ave,40.6851443,-73.95380904,743.0,Monroe St & Bedford Ave,40.6851443,-73.95380904,681
2019.0,Jan,346.0,Bank St & Hudson St,40.73652889,-74.00618026,1906.0,Bank St & Hudson St,40.73652889,-74.00618026,1914
2019.0,Jan,347.0,Greenwich St & W Houston St,40.728846000000004,-74.00859100000001,2350.0,Greenwich St & W Houston St,40.728846000000004,-74.00859100000001,2384
2019.0,Jan,349.0,Rivington St & Ridge St,40.71850211,-73.98329859,1207.0,Rivington St & Ridge St,40.71850211,-73.98329859,1204
2019.0,Jan,350.0,Clinton St & Grand St,40.71559509,-73.9870295,3074.0,Clinton St & Grand St,40.71559509,-73.9870295,3056
2019.0,Jan,351.0,Front St & Maiden Ln,40.70530954,-74.00612572,1237.0,Front St & Maiden Ln,40.70530954,-74.00612572,1280
2019.0,Jan,353.0,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,702.0,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,750
2019.0,Jan,354.0,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,669.0,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,682
2019.0,Jan,355.0,Bayard St & Baxter St,40.71602118,-73.99974372,2047.0,Bayard St & Baxter St,40.71602118,-73.99974372,2070
2019.0,Jan,356.0,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,1113.0,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,996
2019.0,Jan,357.0,E 11 St & Broadway,40.73261787,-73.99158043,1650.0,E 11 St & Broadway,40.73261787,-73.99158043,1666
2019.0,Jan,358.0,Christopher St & Greenwich St,40.73291553,-74.00711384,3949.0,Christopher St & Greenwich St,40.73291553,-74.00711384,4010
2019.0,Jan,359.0,E 47 St & Park Ave,40.75510267,-73.97498696,5052.0,E 47 St & Park Ave,40.75510267,-73.97498696,5135
2019.0,Jan,360.0,William St & Pine St,40.70717936,-74.00887308,1426.0,William St & Pine St,40.70717936,-74.00887308,1454
2019.0,Jan,361.0,Allen St & Hester St,40.71605866,-73.99190759,2117.0,Allen St & Hester St,40.71605866,-73.99190759,2134
2019.0,Jan,362.0,Broadway & W 37 St,40.75172632,-73.98753523,1426.0,Broadway & W 37 St,40.75172632,-73.98753523,1418
2019.0,Jan,363.0,West Thames St,40.70834698,-74.01713445,1707.0,West Thames St,40.70834698,-74.01713445,1750
2019.0,Jan,364.0,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,860.0,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,759
2019.0,Jan,365.0,Fulton St & Grand Ave,40.68223166,-73.9614583,676.0,Fulton St & Grand Ave,40.68223166,-73.9614583,573
2019.0,Jan,366.0,Clinton Ave & Myrtle Ave,40.693261,-73.968896,1534.0,Clinton Ave & Myrtle Ave,40.693261,-73.968896,1399
2019.0,Jan,368.0,Carmine St & 6 Ave,40.73038599,-74.00214988,3988.0,Carmine St & 6 Ave,40.73038599,-74.00214988,4074
2019.0,Jan,369.0,Washington Pl & 6 Ave,40.73224119,-74.00026394,1638.0,Washington Pl & 6 Ave,40.73224119,-74.00026394,1682
2019.0,Jan,372.0,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519,235.0,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519,229
2019.0,Jan,373.0,Willoughby Ave & Walworth St,40.69331716,-73.95381995,283.0,Willoughby Ave & Walworth St,40.69331716,-73.95381995,278
2019.0,Jan,376.0,John St & William St,40.70862144,-74.00722156,523.0,John St & William St,40.70862144,-74.00722156,535
2019.0,Jan,377.0,6 Ave & Canal St,40.72243797,-74.00566443,1986.0,6 Ave & Canal St,40.72243797,-74.00566443,2521
2019.0,Jan,379.0,W 31 St & 7 Ave,40.749156,-73.9916,4634.0,W 31 St & 7 Ave,40.749156,-73.9916,4623
2019.0,Jan,380.0,W 4 St & 7 Ave S,40.73401143,-74.00293877,2662.0,W 4 St & 7 Ave S,40.73401143,-74.00293877,2747
2019.0,Jan,382.0,University Pl & E 14 St,40.73492695,-73.99200509,4007.0,University Pl & E 14 St,40.73492695,-73.99200509,4033
2019.0,Jan,383.0,Greenwich Ave & Charles St,40.735238,-74.000271,2037.0,Greenwich Ave & Charles St,40.735238,-74.000271,2092
2019.0,Jan,385.0,E 55 St & 2 Ave,40.75797322,-73.96603308,1834.0,E 55 St & 2 Ave,40.75797322,-73.96603308,1841
2019.0,Jan,386.0,Centre St & Worth St,40.71494807,-74.00234482,1089.0,Centre St & Worth St,40.71494807,-74.00234482,1087
2019.0,Jan,387.0,Centre St & Chambers St,40.71273266,-74.0046073,3003.0,Centre St & Chambers St,40.71273266,-74.0046073,2924
2019.0,Jan,388.0,W 26 St & 10 Ave,40.749717753,-74.002950346,2271.0,W 26 St & 10 Ave,40.749717753,-74.002950346,2319
2019.0,Jan,389.0,Broadway & Berry St,40.71044554,-73.96525063,1140.0,Broadway & Berry St,40.71044554,-73.96525063,1035
2019.0,Jan,390.0,Duffield St & Willoughby St,40.69221589,-73.9842844,1059.0,Duffield St & Willoughby St,40.69221589,-73.9842844,1074
2019.0,Jan,391.0,Clark St & Henry St,40.69760127,-73.99344559,2064.0,Clark St & Henry St,40.69760127,-73.99344559,1558
2019.0,Jan,392.0,Jay St & Tech Pl,40.695065,-73.987167,964.0,Jay St & Tech Pl,40.695065,-73.987167,1000
2019.0,Jan,393.0,E 5 St & Avenue C,40.72299208,-73.97995466,1452.0,E 5 St & Avenue C,40.72299208,-73.97995466,1440
2019.0,Jan,394.0,E 9 St & Avenue C,40.72521311,-73.97768752,2412.0,E 9 St & Avenue C,40.72521311,-73.97768752,2144
2019.0,Jan,396.0,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,447.0,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,402
2019.0,Jan,397.0,Fulton St & Clermont Ave,40.68415748,-73.96922273,421.0,Fulton St & Clermont Ave,40.68415748,-73.96922273,329
2019.0,Jan,398.0,Atlantic Ave & Furman St,40.69165183,-73.99997859999999,623.0,Atlantic Ave & Furman St,40.69165183,-73.99997859999999,685
2019.0,Jan,399.0,Lafayette Ave & St James Pl,40.68851534,-73.9647628,861.0,Lafayette Ave & St James Pl,40.68851534,-73.9647628,574
2019.0,Jan,400.0,Pitt St & Stanton St,40.71926081,-73.98178024,488.0,Pitt St & Stanton St,40.71926081,-73.98178024,497
