year,month,usertype,gender,trips
2019,Jan,Customer,Female,5643
2019,Jan,Customer,Male,16612
2019,Jan,Customer,Unknown,17918
2019,Jan,Subscriber,Female,200385
2019,Jan,Subscriber,Male,710518
2019,Jan,Subscriber,Unknown,16211
2019,Feb,Customer,Female,7138
2019,Feb,Customer,Male,19329
2019,Feb,Customer,Unknown,19884
2019,Feb,Subscriber,Female,196374
2019,Feb,Subscriber,Male,684135
2019,Feb,Subscriber,Unknown,16884
2019,Mar,Customer,Female,19219
2019,Mar,Customer,Male,38816
2019,Mar,Customer,Unknown,48623
2019,Mar,Subscriber,Female,274561
2019,Mar,Subscriber,Male,923787
2019,Mar,Subscriber,Unknown,22954
2019,Apr,Customer,Female,42919
2019,Apr,Customer,Male,76224
2019,Apr,Customer,Unknown,110290
2019,Apr,Subscriber,Female,366366
2019,Apr,Subscriber,Male,1142327
2019,Apr,Subscriber,Unknown,27968
2019,May,Customer,Female,58429
2019,May,Customer,Male,97919
2019,May,Customer,Unknown,138218
2019,May,Subscriber,Female,404184
2019,May,Subscriber,Male,1195860
2019,May,Subscriber,Unknown,29953
2019,Jun,Customer,Female,76781
2019,Jun,Customer,Male,129071
2019,Jun,Customer,Unknown,166992
2019,Jun,Subscriber,Female,450796
2019,Jun,Subscriber,Male,1270037
2019,Jun,Subscriber,Unknown,31693
2019,Jul,Customer,Female,79222
2019,Jul,Customer,Male,135302
2019,Jul,Customer,Unknown,163485
2019,Jul,Subscriber,Female,464706
2019,Jul,Subscriber,Male,1305805
2019,Jul,Subscriber,Unknown,32544
2019,Aug,Customer,Female,94679
2019,Aug,Customer,Male,157671
2019,Aug,Customer,Unknown,191515
2019,Aug,Subscriber,Female,493752
2019,Aug,Subscriber,Male,1372601
2019,Aug,Subscriber,Unknown,34006
2019,Sep,Customer,Female,98386
2019,Sep,Customer,Male,165533
2019,Sep,Customer,Unknown,170488
2019,Sep,Subscriber,Female,528473
2019,Sep,Subscriber,Male,1446523
2019,Sep,Subscriber,Unknown,35497
2019,Oct,Customer,Female,75407
2019,Oct,Customer,Male,197298
2019,Oct,Customer,Unknown,23048
2019,Oct,Subscriber,Female,460811
2019,Oct,Subscriber,Male,1188369
2019,Oct,Subscriber,Unknown,147640
2019,Nov,Customer,Female,29137
2019,Nov,Customer,Male,62352
2019,Nov,Customer,Unknown,61003
2019,Nov,Subscriber,Female,322051
2019,Nov,Subscriber,Male,980153
2019,Nov,Subscriber,Unknown,24012
2019,Dec,Customer,Female,13207
2019,Dec,Customer,Male,33179
2019,Dec,Customer,Unknown,31239
2019,Dec,Subscriber,Female,199689
2019,Dec,Subscriber,Male,662705
2019,Dec,Subscriber,Unknown,15191
2019,Nov,Customer,Female,29137
2019,Nov,Customer,Male,62352
2019,Nov,Customer,Unknown,61003
2019,Nov,Subscriber,Female,322051
2019,Nov,Subscriber,Male,980153
2019,Nov,Subscriber,Unknown,24012
